Crop,N,P,K,pH,Rainfall,Temperature,Humidity,Season
Cotton,50,32,38,7.09,140.1,25.73,47.51,Kharif
Wheat,91,52,60,6.05,82.59,18.14,45.73,Rabi
Wheat,81,46,49,6.06,71.23,18.06,46.53,Rabi
Sugarcane,149,44,78,6.13,126.72,27.97,73.52,Kharif
Cotton,65,37,42,6.53,89.07,32.13,45.42,Kharif
Cotton,75,29,50,7.43,135.24,30.74,48.18,Kharif
Wheat,60,44,31,6.36,56.57,12.74,58.69,Rabi
Rice,95,68,78,6.35,215.35,30.95,70.95,Kharif
Wheat,75,48,34,6.18,73.93,11.38,41.88,Rabi
Millet,34,31,35,5.2,69.5,25.68,34.33,Kharif
Millet,66,42,45,6.23,78.11,20.54,39.37,Kharif
Wheat,78,55,30,6.81,97.88,19.24,58.88,Rabi
Wheat,87,56,49,6.86,77.17,19.65,49.17,Rabi
Maize,106,46,37,6.78,145.15,20.48,55.48,Zaid
Millet,31,48,38,6.24,60.19,27.87,39.63,Kharif
Wheat,85,59,31,6.39,84.72,20.39,46.97,Rabi
Maize,98,58,38,6.3,176.76,24.58,58.47,Zaid
Maize,104,50,38,6.25,157.64,22.09,68.62,Kharif
Cotton,62,47,49,5.98,94.0,28.48,49.93,Kharif
Rice,101,52,58,6.01,151.63,33.58,71.83,Kharif
Cotton,63,55,44,6.65,116.87,27.28,45.86,Kharif
Rice,100,43,62,6.52,167.02,33.96,89.48,Kharif
Millet,60,45,24,6.47,72.75,28.47,54.22,Kharif
Rice,89,65,56,5.63,162.62,30.51,71.46,Kharif
Wheat,86,55,31,6.12,55.94,24.8,47.49,Rabi
Rice,101,59,56,6.73,297.9,31.3,77.53,Kharif
Maize,108,61,44,6.89,91.12,23.91,50.23,Zaid
Millet,49,47,27,5.24,78.95,28.95,44.58,Kharif
Millet,54,43,20,5.45,97.79,20.15,54.25,Kharif
Sugarcane,136,60,55,6.79,249.09,21.11,73.85,Zaid
Rice,97,54,80,5.78,194.17,34.94,83.94,Kharif
Maize,85,57,59,6.9,175.87,18.69,57.89,Zaid
Cotton,57,50,52,6.79,94.94,24.21,45.32,Kharif
Sugarcane,130,75,66,7.05,189.69,24.64,80.34,Zaid
Sugarcane,102,74,45,7.42,214.34,29.2,70.46,Zaid
Millet,34,42,43,5.75,88.63,31.85,33.76,Kharif
Sugarcane,115,64,61,7.24,193.98,20.95,60.92,Kharif
Rice,100,55,45,6.4,230.15,31.25,88.26,Kharif
Sugarcane,142,76,49,7.27,152.16,26.76,63.23,Kharif
Sugarcane,102,43,40,7.01,200.36,25.37,62.84,Zaid
Wheat,93,51,51,7.25,71.54,22.25,59.36,Rabi
Millet,59,46,44,6.18,68.8,25.05,49.62,Kharif
Millet,31,30,38,6.81,77.04,31.77,45.2,Kharif
Wheat,89,44,56,6.14,100.85,18.21,49.02,Rabi
Cotton,79,47,34,7.22,145.46,23.06,58.53,Kharif
Wheat,76,57,49,6.69,118.6,17.39,46.58,Rabi
Maize,80,53,49,5.95,92.8,19.82,52.78,Zaid
Cotton,89,28,48,6.32,138.69,28.21,59.46,Kharif
Sugarcane,147,58,60,6.25,156.22,22.66,62.22,Kharif
Sugarcane,130,51,65,7.34,136.74,24.95,68.04,Zaid
Rice,101,54,69,5.7,206.59,20.04,87.37,Kharif
Rice,114,68,54,6.2,288.61,23.54,85.2,Kharif
Millet,53,21,32,5.12,48.86,21.6,47.18,Kharif
Millet,47,45,25,6.07,54.55,23.23,39.43,Kharif
Wheat,98,54,46,6.32,72.92,11.8,57.81,Rabi
Cotton,74,28,34,7.08,104.86,22.22,50.74,Kharif
Wheat,67,37,46,6.85,76.51,15.06,57.99,Rabi
Wheat,65,34,54,6.36,57.12,12.29,44.92,Rabi
Cotton,79,35,54,6.07,75.6,33.55,41.6,Kharif
Maize,100,42,39,6.98,91.2,22.77,69.39,Zaid
Millet,59,43,25,6.34,95.76,26.68,44.29,Kharif
Maize,74,40,60,6.19,122.54,24.09,54.85,Kharif
Rice,105,53,77,6.26,173.15,27.22,80.65,Kharif
Rice,85,57,49,6.21,232.34,23.03,83.69,Kharif
Cotton,50,55,29,5.51,70.5,27.62,52.12,Kharif
Maize,99,65,51,6.82,154.6,22.9,68.66,Kharif
Rice,113,51,74,5.59,261.17,28.62,86.84,Kharif
Maize,110,39,48,6.76,162.51,20.24,54.71,Zaid
Wheat,63,54,42,6.88,97.81,16.78,54.28,Rabi
Maize,107,35,57,6.33,137.75,22.26,57.83,Zaid
Millet,69,27,38,6.09,65.89,23.99,48.26,Kharif
Wheat,74,44,58,6.74,101.9,18.6,59.95,Rabi
Rice,112,68,76,6.51,171.47,23.07,84.28,Kharif
Sugarcane,148,49,72,6.15,189.74,25.68,71.43,Zaid
Sugarcane,97,44,68,6.34,213.89,30.8,76.03,Kharif
Cotton,85,50,35,6.7,134.41,34.43,46.85,Kharif
Millet,37,42,34,5.58,76.9,30.94,33.48,Kharif
Wheat,84,30,44,7.09,91.51,11.53,58.38,Rabi
Sugarcane,145,76,47,6.98,220.26,25.62,61.72,Kharif
Sugarcane,103,79,80,7.39,178.61,21.7,84.62,Zaid
Cotton,72,49,25,7.24,106.7,29.28,47.98,Kharif
Rice,88,49,65,5.93,209.73,28.06,88.4,Kharif
Wheat,66,47,56,7.11,81.66,13.37,49.05,Rabi
Maize,93,59,41,6.0,83.39,21.74,65.61,Kharif
Millet,55,47,37,6.33,50.68,31.53,33.72,Kharif
Millet,51,47,50,6.99,70.13,27.14,31.68,Kharif
Maize,88,64,64,6.03,83.65,23.66,61.3,Zaid
Rice,93,58,41,6.19,222.16,27.46,85.31,Kharif
Cotton,50,32,53,5.65,127.79,24.81,57.95,Kharif
Wheat,92,52,52,6.23,100.12,19.88,40.54,Rabi
Maize,93,57,61,6.41,139.5,22.07,61.39,Kharif
Rice,107,54,47,5.63,186.48,30.83,87.11,Kharif
Maize,85,38,54,6.6,100.5,21.52,67.93,Kharif
Wheat,66,30,52,7.27,58.59,23.15,52.86,Rabi
Wheat,61,30,44,6.94,73.51,22.38,47.26,Rabi
Cotton,69,29,29,6.32,109.68,27.11,45.89,Kharif
Cotton,71,36,48,5.73,110.92,34.8,49.42,Kharif
Rice,96,53,48,6.2,245.02,23.87,72.79,Kharif
Maize,73,60,60,6.88,149.12,26.2,66.45,Zaid
Sugarcane,131,75,80,6.41,192.04,29.77,80.74,Kharif
Sugarcane,131,61,60,6.4,154.64,30.98,66.27,Kharif
Rice,86,49,56,6.04,207.47,27.78,70.94,Kharif
Cotton,50,43,45,6.71,82.08,26.45,45.77,Kharif
Cotton,88,32,27,7.4,95.7,34.36,42.7,Kharif
Rice,115,54,59,5.71,276.23,32.7,89.1,Kharif
Maize,103,43,60,6.37,114.44,22.22,58.26,Kharif
Maize,109,44,59,6.1,161.91,27.59,63.89,Zaid
Millet,63,31,38,5.63,88.45,31.55,49.75,Kharif
Rice,91,69,55,6.63,259.83,32.1,83.18,Kharif
Millet,45,25,27,5.5,69.37,22.65,54.69,Kharif
Sugarcane,115,71,49,6.88,249.92,28.34,71.83,Kharif
Millet,44,40,26,5.59,95.46,31.65,53.61,Kharif
Wheat,90,59,49,7.27,72.34,22.43,40.74,Rabi
Maize,103,37,39,6.44,124.1,22.85,61.45,Zaid
Rice,83,68,61,5.91,243.88,33.29,82.32,Kharif
Millet,31,42,22,6.74,41.28,30.5,43.22,Kharif
Maize,108,48,54,5.86,88.85,18.45,59.6,Zaid
Cotton,59,54,49,6.17,107.03,31.25,40.07,Kharif
Sugarcane,103,69,43,7.07,196.58,24.16,82.76,Kharif
Rice,94,56,63,5.66,293.46,31.97,75.18,Kharif
Cotton,55,31,48,7.27,114.07,33.65,59.78,Kharif
Cotton,53,51,32,7.39,118.47,29.51,50.25,Kharif
Wheat,93,54,55,6.06,117.01,22.39,56.02,Rabi
Millet,52,36,28,6.86,99.69,22.09,39.91,Kharif
Wheat,77,59,46,6.23,107.11,13.37,44.48,Rabi
Rice,88,43,53,6.62,218.61,25.87,75.46,Kharif
Sugarcane,98,42,64,7.28,124.6,24.94,83.29,Kharif
Maize,103,58,62,6.25,105.98,26.68,59.92,Zaid
Sugarcane,149,52,67,6.11,230.66,27.43,72.01,Kharif
Maize,72,58,42,6.61,136.57,21.2,67.57,Kharif
Cotton,82,51,51,5.82,90.06,24.34,58.6,Kharif
Cotton,76,30,52,5.82,139.28,33.21,40.58,Kharif
Wheat,69,40,50,7.12,61.25,22.27,56.64,Rabi
Sugarcane,101,78,41,6.43,200.2,34.72,75.8,Kharif
Wheat,83,42,32,6.19,69.83,10.28,48.64,Rabi
Wheat,87,57,44,7.4,57.18,24.06,53.76,Rabi
Wheat,63,56,46,7.16,99.6,17.1,41.16,Rabi
Maize,87,52,48,6.97,176.89,27.0,52.6,Kharif
Cotton,56,53,35,7.14,93.47,32.46,45.05,Kharif
Wheat,93,43,31,7.5,79.83,16.77,43.27,Rabi
Sugarcane,118,50,71,6.12,208.46,29.82,66.83,Kharif
Millet,57,48,40,6.82,91.44,31.57,49.0,Kharif
Sugarcane,92,40,77,6.34,147.7,20.47,76.29,Zaid
Wheat,74,41,45,6.81,61.15,13.06,41.82,Rabi
Maize,76,37,63,5.96,83.25,29.05,62.33,Zaid
Rice,109,53,46,5.66,252.83,26.45,74.01,Kharif
Rice,101,61,41,6.54,196.55,26.83,70.23,Kharif
Wheat,89,47,43,7.46,100.53,19.85,55.14,Rabi
Cotton,87,33,32,6.95,127.42,23.04,42.06,Kharif
Millet,61,34,35,5.96,52.62,24.15,49.4,Kharif
Wheat,92,31,30,6.13,74.54,10.5,41.57,Rabi
Millet,68,21,25,6.14,81.37,29.61,35.0,Kharif
Cotton,89,35,53,6.91,62.84,34.11,41.04,Kharif
Rice,91,47,47,6.43,270.26,25.09,86.3,Kharif
Maize,89,50,38,6.52,158.38,23.77,50.82,Zaid
Wheat,73,40,47,6.09,67.3,12.39,57.44,Rabi
Wheat,78,52,43,6.51,62.75,21.85,53.17,Rabi
Maize,87,40,52,6.58,113.23,24.51,59.87,Zaid
Wheat,94,58,58,6.63,64.25,22.61,43.48,Rabi
Sugarcane,120,63,59,6.94,215.6,31.52,72.62,Zaid
Rice,111,48,75,5.54,209.33,29.09,81.95,Kharif
Cotton,55,31,34,7.48,85.55,26.03,47.68,Kharif
Wheat,99,50,44,6.35,104.32,16.08,52.04,Rabi
Wheat,73,43,31,6.27,109.81,17.38,44.94,Rabi
Cotton,63,48,31,6.22,113.37,23.29,47.82,Kharif
Rice,107,41,74,6.35,198.78,31.6,72.62,Kharif
Sugarcane,112,70,50,7.33,177.46,24.96,71.22,Zaid
Millet,70,20,24,5.5,77.03,28.48,34.18,Kharif
Cotton,77,49,35,6.97,119.74,27.64,56.88,Kharif
Cotton,77,39,39,6.62,108.59,21.48,59.73,Kharif
Rice,116,59,65,5.55,168.32,26.78,88.68,Kharif
Sugarcane,122,53,51,6.22,248.26,34.48,60.12,Zaid
Rice,108,64,78,6.09,227.34,27.33,83.34,Kharif
Cotton,72,54,37,5.79,144.58,31.26,43.25,Kharif
Sugarcane,90,47,68,6.67,232.86,22.66,77.32,Kharif
Wheat,69,59,47,6.37,108.16,22.97,55.37,Rabi
Maize,77,59,48,6.9,140.06,29.29,66.54,Zaid
Sugarcane,130,65,67,6.24,198.64,24.77,81.66,Kharif
Sugarcane,98,52,70,7.11,234.21,26.06,68.18,Zaid
Maize,75,36,52,6.85,111.72,28.43,57.51,Zaid
Millet,36,44,40,5.65,61.99,24.75,47.39,Kharif
Cotton,78,49,25,5.98,93.59,24.18,41.46,Kharif
Maize,77,48,48,6.54,126.35,22.56,67.27,Zaid
Wheat,65,57,50,7.22,57.62,12.23,50.53,Rabi
Cotton,85,39,35,7.03,133.17,31.05,59.11,Kharif
Sugarcane,110,62,55,6.97,236.74,23.65,83.18,Kharif
Cotton,70,37,46,5.89,74.97,29.64,50.46,Kharif
Millet,56,48,34,6.06,74.86,21.08,47.94,Kharif
Wheat,72,33,55,6.18,62.68,20.22,43.63,Rabi
Sugarcane,120,46,75,6.64,131.32,32.24,69.34,Kharif
Wheat,72,52,51,7.23,111.89,13.42,44.24,Rabi
Wheat,83,55,54,7.26,113.0,15.3,44.74,Rabi
Sugarcane,93,63,58,7.28,207.29,32.14,79.17,Zaid
Rice,84,54,74,6.63,220.93,28.03,73.57,Kharif
Sugarcane,104,74,67,6.31,202.93,23.85,75.8,Kharif
Millet,54,21,22,6.19,80.55,25.31,41.14,Kharif
Rice,90,46,63,5.67,165.62,30.87,81.57,Kharif
Sugarcane,135,75,79,6.97,197.45,26.02,69.17,Zaid
Rice,118,43,52,6.17,160.14,32.01,74.67,Kharif
Sugarcane,97,77,47,6.98,189.28,24.87,68.33,Zaid
Wheat,82,41,31,6.54,119.68,16.7,46.67,Rabi
Millet,65,24,32,6.27,85.29,22.05,40.24,Kharif
Millet,45,31,36,5.6,98.87,25.7,39.56,Kharif
Cotton,89,46,29,6.97,129.17,24.41,53.43,Kharif
Cotton,55,46,42,7.08,137.82,29.52,50.14,Kharif
Cotton,83,53,38,5.74,80.46,25.78,47.62,Kharif
Wheat,86,54,38,6.76,107.77,14.2,58.85,Rabi
Wheat,65,32,51,6.75,119.45,22.77,44.17,Rabi
Rice,117,57,74,6.38,229.87,30.82,72.83,Kharif
Cotton,63,33,39,6.31,75.62,30.73,46.92,Kharif
Cotton,67,34,49,6.65,103.14,25.39,52.13,Kharif
Rice,95,61,42,6.74,273.78,29.99,72.44,Kharif
Sugarcane,123,43,64,6.35,130.4,31.65,63.05,Zaid
Sugarcane,120,53,59,6.66,133.74,29.61,65.4,Zaid
Wheat,82,48,60,6.09,104.65,16.9,41.16,Rabi
Maize,100,58,49,6.98,103.92,19.71,52.43,Zaid
Millet,36,35,35,5.12,70.57,31.96,50.35,Kharif
Cotton,78,44,28,6.55,98.35,22.83,57.73,Kharif
Millet,64,26,46,5.83,89.65,28.8,49.23,Kharif
Millet,31,49,46,5.84,87.42,26.99,47.02,Kharif
Sugarcane,90,52,60,7.25,201.81,22.98,61.62,Zaid
Cotton,66,27,41,6.6,100.89,32.82,41.96,Kharif
Wheat,63,31,49,6.37,95.62,22.16,52.28,Rabi
Sugarcane,127,60,52,6.2,133.28,29.88,83.57,Zaid
Cotton,78,25,34,7.36,82.78,31.94,56.5,Kharif
Wheat,67,56,51,6.96,92.98,11.0,50.37,Rabi
Maize,74,46,35,6.33,84.78,18.46,64.92,Kharif
Sugarcane,140,63,74,6.02,244.35,31.06,68.83,Zaid
Cotton,60,44,39,7.38,130.55,25.97,48.24,Kharif
Sugarcane,119,71,47,6.4,122.72,21.23,84.2,Kharif
Rice,88,41,54,5.77,168.21,29.23,85.49,Kharif
Rice,104,65,49,6.54,193.92,34.7,82.04,Kharif
Sugarcane,121,70,55,7.22,205.34,21.92,68.46,Zaid
Wheat,68,54,37,6.65,80.76,19.19,58.86,Rabi
Millet,49,40,31,5.39,93.22,27.75,37.15,Kharif
Millet,68,36,31,6.84,55.13,29.06,41.51,Kharif
Millet,69,33,26,5.36,43.23,23.84,48.83,Kharif
Rice,101,67,68,6.45,166.19,30.28,71.84,Kharif
Wheat,90,44,48,6.23,73.97,16.2,55.16,Rabi
Rice,82,70,58,5.7,164.06,28.66,87.54,Kharif
Sugarcane,136,47,55,7.22,216.42,33.22,66.95,Kharif
Wheat,93,40,54,6.83,101.31,19.24,43.76,Rabi
Rice,92,48,75,5.51,264.15,20.53,84.91,Kharif
Millet,63,40,44,6.36,85.38,30.1,41.76,Kharif
Maize,106,60,38,6.26,144.34,27.36,54.34,Zaid
Sugarcane,127,60,79,6.27,123.78,22.5,64.53,Kharif
Cotton,66,47,31,6.46,117.81,21.91,51.6,Kharif
Cotton,53,48,54,6.47,113.94,29.43,40.46,Kharif
Maize,88,56,58,6.2,158.49,26.49,65.77,Zaid
Maize,105,64,57,6.68,103.59,22.46,51.25,Zaid
Maize,80,59,62,6.16,97.35,25.65,59.92,Kharif
Maize,84,40,49,6.81,118.38,24.86,61.76,Kharif
Cotton,59,42,27,5.55,62.18,32.64,45.46,Kharif
Rice,98,49,74,6.06,280.91,32.63,73.72,Kharif
Rice,100,49,44,6.42,244.68,20.75,88.08,Kharif
Maize,70,58,59,5.81,85.73,20.7,52.63,Kharif
Cotton,73,49,28,5.53,85.45,21.62,40.73,Kharif
Maize,97,48,58,6.97,117.12,23.15,66.9,Zaid
Cotton,58,37,28,5.57,65.64,33.69,42.78,Kharif
Cotton,82,51,31,5.67,81.31,31.25,50.97,Kharif
Sugarcane,131,65,53,7.1,247.57,23.85,76.35,Zaid
Sugarcane,113,58,64,7.42,245.76,22.75,60.55,Kharif
Cotton,56,46,47,6.59,148.25,24.18,48.08,Kharif
Maize,110,41,56,6.46,141.29,20.71,66.94,Zaid
Sugarcane,94,41,61,7.27,206.97,26.93,70.29,Kharif
Millet,41,43,34,6.03,88.38,25.51,31.3,Kharif
Rice,111,46,60,5.71,199.53,31.35,80.39,Kharif
Sugarcane,104,61,67,6.38,243.06,28.4,78.77,Kharif
Wheat,84,53,59,6.52,69.77,15.86,55.97,Rabi
Cotton,72,49,51,6.26,129.81,34.5,44.08,Kharif
Wheat,67,53,57,7.19,90.43,19.52,55.96,Rabi
Millet,69,37,29,5.9,73.47,21.99,45.34,Kharif
Sugarcane,92,66,79,6.76,197.75,20.5,69.09,Zaid
Cotton,86,28,54,6.73,67.51,33.35,56.07,Kharif
Millet,45,20,50,5.97,47.35,28.7,38.08,Kharif
Cotton,87,50,55,6.81,71.68,30.62,41.86,Kharif
Cotton,74,44,26,5.92,94.11,34.63,46.74,Kharif
Rice,117,57,45,6.42,197.15,27.07,86.43,Kharif
Cotton,58,45,48,6.49,134.54,25.69,43.48,Kharif
Sugarcane,117,65,72,6.36,138.46,25.22,71.26,Zaid
Maize,92,50,56,6.69,160.62,28.12,55.08,Kharif
Cotton,65,26,26,6.13,60.34,30.54,43.34,Kharif
Cotton,50,32,47,6.06,117.86,30.72,50.25,Kharif
Millet,44,50,40,5.07,58.24,27.84,53.46,Kharif
Cotton,66,31,33,7.08,119.85,24.64,58.14,Kharif
Maize,96,57,61,5.93,124.71,23.52,67.29,Zaid
Millet,64,38,49,6.6,68.74,20.22,40.54,Kharif
Millet,55,25,42,5.25,82.46,31.67,50.65,Kharif
Maize,78,62,54,6.98,142.13,24.71,62.56,Kharif
Cotton,68,39,44,5.73,123.33,28.57,41.93,Kharif
Millet,38,20,43,5.57,89.47,20.89,35.66,Kharif
Millet,59,28,23,5.13,92.63,30.53,38.26,Kharif
Millet,70,43,50,6.25,71.88,30.06,37.13,Kharif
Cotton,84,35,38,7.21,106.93,21.89,56.63,Kharif
Maize,102,55,63,6.43,83.26,28.42,51.29,Zaid
Rice,87,52,62,6.06,197.54,26.52,85.48,Kharif
Rice,98,65,68,5.72,292.22,26.68,85.78,Kharif
Maize,73,57,41,5.96,103.42,27.44,69.42,Zaid
Wheat,83,31,56,7.12,85.44,19.51,41.42,Rabi
Rice,97,56,51,6.29,286.11,23.58,79.39,Kharif
Rice,108,52,74,5.75,241.62,24.21,74.14,Kharif
Sugarcane,150,77,47,6.06,134.04,25.08,80.06,Kharif
Millet,70,28,43,5.17,77.02,21.37,38.63,Kharif
Rice,118,52,50,5.56,217.59,33.94,73.3,Kharif
Cotton,68,36,32,7.32,124.26,29.51,46.19,Kharif
Sugarcane,115,78,67,7.23,120.2,29.55,61.28,Kharif
Rice,99,57,57,5.65,207.58,26.84,77.38,Kharif
Maize,97,42,54,6.88,120.42,21.85,65.0,Zaid
Sugarcane,130,49,41,7.33,197.83,27.53,63.47,Kharif
Rice,118,67,42,6.44,168.08,33.54,71.33,Kharif
Millet,69,21,36,6.39,71.95,25.39,32.11,Kharif
Wheat,96,50,59,6.84,74.02,20.94,53.05,Rabi
Cotton,70,46,35,6.36,120.57,24.86,46.13,Kharif
Wheat,89,57,41,7.2,107.57,22.86,58.33,Rabi
Maize,101,60,61,6.52,150.56,26.26,57.49,Zaid
Cotton,86,31,28,5.59,128.57,34.25,46.8,Kharif
Wheat,77,57,32,6.51,55.02,16.14,46.22,Rabi
Millet,34,27,21,6.68,74.81,26.72,32.63,Kharif
Rice,84,69,63,6.16,294.6,25.76,70.78,Kharif
Millet,56,29,38,5.05,85.37,25.5,37.23,Kharif
Sugarcane,147,76,76,6.71,177.74,34.92,73.63,Kharif
Sugarcane,148,56,71,6.51,190.38,22.31,73.84,Zaid
Sugarcane,111,62,42,6.45,153.71,22.92,61.44,Zaid
Cotton,70,36,35,6.62,91.25,29.13,42.78,Kharif
Maize,82,49,36,6.39,120.18,29.93,67.61,Zaid
Millet,53,45,38,5.4,63.71,20.47,41.89,Kharif
Cotton,68,55,51,7.32,124.99,28.47,57.4,Kharif
Sugarcane,143,50,78,6.19,223.25,24.14,81.93,Zaid
Millet,46,38,38,6.03,45.62,29.06,42.3,Kharif
Wheat,95,35,40,6.3,103.33,15.8,50.23,Rabi
Rice,96,58,53,6.09,216.52,29.03,81.83,Kharif
Sugarcane,124,48,47,7.28,177.09,32.7,82.33,Kharif
Millet,32,46,24,6.02,77.6,31.12,30.48,Kharif
Millet,58,41,30,6.74,71.63,27.59,46.11,Kharif
Cotton,51,33,48,6.97,107.57,32.11,59.81,Kharif
Wheat,67,55,46,6.13,50.16,10.66,46.84,Rabi
Sugarcane,90,54,76,6.01,241.82,32.33,80.23,Kharif
Cotton,84,26,55,5.68,103.89,22.09,48.15,Kharif
Millet,60,25,30,5.7,46.66,29.7,53.69,Kharif
Wheat,78,56,35,6.45,55.38,17.51,55.89,Rabi
Millet,31,21,45,5.81,57.72,22.79,37.03,Kharif
Millet,56,41,48,6.17,90.53,26.59,35.48,Kharif
Sugarcane,110,58,58,6.97,135.98,33.33,72.58,Zaid
Wheat,69,33,37,6.83,94.6,17.89,49.26,Rabi
Millet,53,34,41,6.13,47.2,31.0,48.02,Kharif
Cotton,80,38,26,5.77,116.66,21.76,54.97,Kharif
Rice,110,56,68,5.56,191.43,30.6,71.25,Kharif
Wheat,67,38,35,6.37,101.86,14.74,42.04,Rabi
Rice,98,48,66,6.63,235.77,33.61,88.86,Kharif
Maize,75,50,58,6.96,88.93,26.24,59.88,Kharif
Cotton,76,49,48,6.85,72.52,24.56,57.51,Kharif
Sugarcane,122,63,50,7.43,211.33,24.47,62.63,Kharif
Maize,81,39,44,5.93,129.86,22.62,67.32,Kharif
Wheat,73,32,41,6.0,110.13,12.79,51.04,Rabi
Cotton,80,26,40,6.24,138.28,31.23,52.95,Kharif
Cotton,72,37,37,6.09,72.29,30.12,54.77,Kharif
Cotton,55,36,36,6.29,124.19,23.79,57.8,Kharif
Cotton,84,37,49,7.15,130.38,28.61,42.0,Kharif
Wheat,72,34,35,6.51,51.35,11.87,48.27,Rabi
Rice,82,54,77,6.19,239.27,20.15,79.28,Kharif
Cotton,75,30,25,6.12,129.66,31.82,50.43,Kharif
Wheat,71,56,51,6.03,103.91,22.11,42.4,Rabi
Millet,36,40,44,6.55,71.08,24.18,39.29,Kharif
Maize,105,47,41,6.86,147.56,24.56,66.6,Kharif
Rice,87,52,61,5.7,284.92,30.65,88.75,Kharif
Wheat,87,42,44,6.09,97.01,18.73,59.8,Rabi
Sugarcane,145,71,59,6.82,245.16,21.13,69.14,Kharif
Wheat,66,39,54,6.93,104.69,18.67,42.94,Rabi
Sugarcane,97,79,43,6.58,207.64,23.9,68.63,Zaid
Millet,53,41,47,6.08,43.64,28.28,47.25,Kharif
Wheat,64,49,49,6.35,53.12,16.23,46.04,Rabi
Wheat,74,58,55,7.02,55.34,14.12,56.14,Rabi
Wheat,73,39,43,6.65,53.07,12.49,48.91,Rabi
Cotton,82,41,40,7.49,107.45,26.49,53.18,Kharif
Rice,95,43,74,6.15,211.0,34.3,80.45,Kharif
Cotton,60,29,49,7.34,75.85,24.0,40.26,Kharif
Millet,33,31,38,6.46,61.3,28.38,39.88,Kharif
Wheat,93,52,37,6.24,83.38,20.77,44.95,Rabi
Rice,118,56,59,6.23,265.74,27.48,70.24,Kharif
Wheat,95,34,57,7.39,66.01,19.52,44.44,Rabi
Cotton,89,26,47,6.96,68.59,27.0,40.58,Kharif
Maize,82,47,44,6.88,95.38,29.88,69.1,Kharif
Rice,108,46,42,6.01,263.14,33.78,89.02,Kharif
Maize,95,48,51,6.75,105.1,24.77,57.17,Zaid
Rice,80,65,65,6.69,165.27,27.59,74.42,Kharif
Rice,84,65,40,5.73,280.02,24.24,89.01,Kharif
Sugarcane,100,60,74,6.49,229.16,22.16,70.75,Kharif
Wheat,99,34,50,7.14,107.62,23.33,50.89,Rabi
Sugarcane,118,47,80,6.44,197.19,20.49,75.9,Kharif
Cotton,64,27,29,6.42,68.55,32.57,40.95,Kharif
Cotton,83,53,48,6.21,134.23,28.22,49.27,Kharif
Sugarcane,145,62,44,6.59,191.07,27.98,74.76,Zaid
Millet,35,24,44,6.95,53.57,23.65,37.6,Kharif
Maize,91,49,38,6.96,102.43,25.96,64.84,Kharif
Sugarcane,112,69,76,7.07,226.18,22.72,69.27,Kharif
Millet,65,26,35,6.51,63.59,27.09,46.53,Kharif
Maize,100,44,44,5.82,106.9,24.21,55.38,Zaid
